2020-02-21 10:11:34,995 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
2020-02-21 10:11:35,684 | INFO  | FelixStartLevel  | DeploymentAgent                  | io.fabric8.agent.DeploymentAgent  240 | 87 - io.fabric8.fabric-agent - 1.2.0.redhat-630187 | Creating fabric-agent-download thread pool with size: 4
2020-02-21 10:11:35,685 | INFO  | FelixStartLevel  | DeploymentAgent                  | io.fabric8.agent.DeploymentAgent  245 | 87 - io.fabric8.fabric-agent - 1.2.0.redhat-630187 | Starting DeploymentAgent fabric-agent-87.0.1
2020-02-21 10:11:35,705 | INFO  | 7.0.1-1-thread-1 | DeploymentAgent                  | .fabric8.agent.DeploymentAgent$2  254 | 87 - io.fabric8.fabric-agent - 1.2.0.redhat-630187 | DeploymentAgent ready to accept configadmin tasks
2020-02-21 10:11:35,707 | INFO  | .fabric8.agent]) | DeploymentAgent                  | io.fabric8.agent.DeploymentAgent  293 | 87 - io.fabric8.fabric-agent - 1.2.0.redhat-630187 | DeploymentAgent fabric-agent-87.0.1 updated with null
2020-02-21 10:11:36,030 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | .internal.HttpServiceFactoryImpl   35 | 127 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Binding bundle: [io.fabric8.fabric-redirect [131]] to http service
2020-02-21 10:11:36,066 | INFO  | FelixStartLevel  | JettyServerWrapper               | etty.internal.JettyServerWrapper  308 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer to ServletContainerInitializers
2020-02-21 10:11:36,169 | INFO  | FelixStartLevel  | JettyServerWrapper               | etty.internal.JettyServerWrapper  385 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | added ServletContainerInitializer: org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer
2020-02-21 10:11:36,169 | INFO  | FelixStartLevel  | JettyServerWrapper               | etty.internal.JettyServerWrapper  308 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.apache.jasper.servlet.JasperInitializer to ServletContainerInitializers
2020-02-21 10:11:36,170 | INFO  | FelixStartLevel  | JettyServerWrapper               | etty.internal.JettyServerWrapper  312 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | Skipt org.apache.jasper.servlet.JasperInitializer, because specialized handler will be present
2020-02-21 10:11:36,197 | INFO  | FelixStartLevel  | HttpServiceContext               | etty.internal.HttpServiceContext  117 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | registering context DefaultHttpContext [bundle=io.fabric8.fabric-redirect [131], contextID=default], with context-name: 
2020-02-21 10:11:36,203 | INFO  | FelixStartLevel  | HttpServiceContext               | etty.internal.HttpServiceContext  177 | 128 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | registering JasperInitializer
2020-02-21 10:11:36,321 | INFO  | FelixStartLevel  | ContextHandler                   | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | Started HttpServiceContext{httpContext=DefaultHttpContext [bundle=io.fabric8.fabric-redirect [131], contextID=default]}
2020-02-21 10:11:36,324 | INFO  | FelixStartLevel  | Server                           | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | jetty-9.2.19.v20160908
2020-02-21 10:11:36,378 | INFO  | FelixStartLevel  | ServerConnector                  | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | Started default@1839c816{HTTP/1.1}{0.0.0.0:8181}
2020-02-21 10:11:36,379 | INFO  | FelixStartLevel  | Server                           | lipse.jetty.util.log.JavaUtilLog   77 | 107 - org.eclipse.jetty.util - 9.2.19.v20160908 | Started @32004ms
2020-02-21 10:11:36,580 | INFO  | 0.redhat-187/etc | fileinstall                      | ?                                   ? | 8 - org.apache.felix.fileinstall - 3.5.0 | Started bundle: wrap:jardir:/home/grecomilani/Desktop/WS-FIS/jboss-a-mq-6.3.0.redhat-187/etc/auth$Bundle-SymbolicName=auth&Bundle-Version=0.0.0
2020-02-21 10:11:36,608 | INFO  | FelixStartLevel  | ActivateCommandComponent         | ell.scr.ActivateCommandComponent   68 | 138 - org.apache.karaf.shell.scr - 2.4.0.redhat-630187 | Activating the Apache Karaf SCR Activate Command
2020-02-21 10:11:36,610 | INFO  | FelixStartLevel  | DeactivateCommandComponent       | l.scr.DeactivateCommandComponent   68 | 138 - org.apache.karaf.shell.scr - 2.4.0.redhat-630187 | Activating the Apache Karaf SCR Deactivate Command
2020-02-21 10:11:36,611 | INFO  | FelixStartLevel  | DetailsCommandComponent          | hell.scr.DetailsCommandComponent   69 | 138 - org.apache.karaf.shell.scr - 2.4.0.redhat-630187 | Activating the Apache Karaf SCR Details Command
2020-02-21 10:11:36,613 | INFO  | FelixStartLevel  | ListCommandComponent             | f.shell.scr.ListCommandComponent   63 | 138 - org.apache.karaf.shell.scr - 2.4.0.redhat-630187 | Activating the Apache Karaf SCR List Command
2020-02-21 10:11:36,673 | WARN  | FelixStartLevel  | NamespaceManager                 | nternal.support.NamespaceManager  132 | 153 - org.springframework.osgi.extender - 1.2.1 | Bundle Apache XBean :: Classloader (org.apache.xbean.classloader) cannot see class [org.springframework.beans.factory.xml.NamespaceHandlerResolver]; ignoring its namespace handlers
2020-02-21 10:11:36,716 | INFO  | FelixStartLevel  | ActiveMQConnectionFactoryService | ActiveMQConnectionFactoryService   61 | 176 - io.fabric8.mq.mq-fabric - 1.2.0.redhat-630187 | Configuring io.fabric8.mq.fabric.cf.ActiveMQConnectionFactoryService@4e0c513d with brokerUrl: discovery:(fabric:default) and user: admin
